# Directed graph: as-caida20070917.txt
# The CAIDA AS Relationships Dataset, from 09 17 2007
# Relationships:	
#           -1 (<FromNodeId> is a customer of <ToNodeId>)
# 			1 (<FromNodeId> is a provider of <ToNodeId>)
# 			0 (<FromNodeId> and <ToNodeId> are peers)
# 			2 (<FromNodeId> and <ToNodeId> are siblings (the same organization).)
# Nodes:8020	Edges: 36406
# FromNodeId        ToNodeId	Relationship
10  25  1
10  2   0
10  8   0
10  7   0
2   9   1
2   30  1
7   11  1
7   19  1
8   6   1
8   26  1
7   32  1
2   5   1
